Changes,AvgQuality
0,1332.052632
1,1758.236667
2,984.758375
3,881.9721667
4,1496.391727
5,1854.262727
6,2532.037714
7,1730.433333
8,1887.7099
9,1687.6585
10,1902.895667
11,2213.828889
12,2108.346667
13,2393.243333
14,2530.00875
15,1949.988111
16,2464.755375
17,2672.974
18,2987.025
19,1895.5416
20,2801.963333
21,2570.53
22,2288.326667
23,1083.3755
24,2587.843333
25,2213.523333
26,2470.077143
27,852.2545
28,2889.48
29,2358.6
30,2397.73
32,2303.46
33,2417.9175
34,2339
36,2346.37975
37,1377.095
38,1627.396
39,950.045
41,1676.28
42,1577.675
43,1547.985
45,1613.43
46,957.325
50,1003.07
51,3291.43
52,1867.955
53,2180.25
55,1921.46
57,2438.985
60,1043.21
61,598.846
62,3154.8
67,2408.78
69,1002.83
73,881.954
74,2249.57
75,1909.66
79,1540.64
83,1269.57
84,3934.77
85,1657.68
87,2434.86
89,2289.965
92,896.125
99,1957.48
100,4207.68
109,2440.01
117,1453.65
119,2279.77
120,4101.19
133,2860.07
