Quality,Buf3060,Buf120,Buf240
1655.48,null,0.65721,null
1655.75,null,null,0.439044
1657.68,null,null,0.621081
1657.71,0.127574,null,null
1657.79,0.113793,null,null
1658.08,0.124382,null,null
1658.69,null,null,0.444764
1659.68,null,null,0.338159
1661.38,null,0.363783,null
1663.14,null,null,0.41608
1668.64,0.49643,null,null
1671.47,null,0.324779,null
1672.47,0.713789,null,null
1676.28,null,null,0.448945
1686.2,0.279975,null,null
1687.52,0.119726,null,null
1689.76,null,0.227745,null
1693.91,null,0.0951301,null
1699.53,null,null,0.220358
1699.71,0.375746,null,null
1703.21,null,null,0.321373
1707.36,null,0.288712,null
1713.18,null,null,0.33875
1723.51,null,0.383863,null
1725.26,null,0.113018,null
1730.74,null,null,0.464776
1740.93,null,0.338464,null
1744.98,null,0.251104,null
1745.38,null,null,0.249373
1749.99,0.217727,null,null
1752.19,null,0.350563,null
1753.26,null,null,0.639475
1753.6,null,null,0.332722
1759.59,null,0.346862,null
1761.22,null,null,0.642644
1761.89,null,0.516347,null
1763.07,null,0.481591,null
1763.98,null,null,0.390573
1764.52,0.488988,null,null
1773.34,0.408626,null,null
1779.75,0.129321,null,null
1782.02,null,null,0.332266
1784.4,null,null,0.312697
1786.2,0.328289,null,null
1794.16,null,0.29217,null
1795.68,null,0.391625,null
1798.6,null,0.384585,null
1801.32,0.426284,null,null
1803.26,null,null,0.325403
1803.6,null,0.405201,null
1805.25,null,0.428024,null
1809,null,null,0.353746
1825.01,null,null,0.349377
1827.17,null,0.331089,null
1827.57,null,0.267902,null
1831.27,null,0.267039,null
1832.87,null,0.310598,null
1835.95,null,null,0.809754
1838.13,null,0.436527,null
1838.48,0.397007,null,null
1839.93,null,null,0.430616
1840.27,null,null,0.361704
1840.57,null,0.437646,null
1840.93,null,null,0.434025
1842.61,null,null,0.794272
1844.2,null,0.11173,null
1848.06,null,0.12388,null
1853.02,null,null,0.25817
1853.61,0.399185,null,null
1856.15,null,0.33342,null
1857.74,null,0.282344,null
1858.4,0.248596,null,null
1860.76,null,0.274043,null
1864.34,0.164735,null,null
1868.27,0.384614,null,null
1874.38,0.359879,null,null
1875.76,0.169609,null,null
1880.29,null,0.173416,null
1882.77,null,0.726596,null
1891.62,null,0.451249,null
1900.07,0.404225,null,null
1901.5,0.255296,null,null
1902.27,0.415236,null,null
1907.87,null,0.128366,null
1909.66,null,null,0.338418
1911.14,null,null,0.44792
1912.59,0.290966,null,null
1916.18,null,null,0.484957
1919.45,0.155193,null,null
1920.01,null,0.353768,null
1921.46,null,null,0.41578
1923.17,null,0.220537,null
1927.15,null,null,0.568694
1937.96,0.845951,null,null
1938.93,0.384054,null,null
1942.5,0.23389,null,null
1952.09,0.409989,null,null
1952.57,null,0.545373,null
1954.37,null,null,0.202232
1957.48,null,null,0.781788
1962.55,null,null,0.363256
1964.97,0.252674,null,null
1967.64,null,null,0.331813
1976.03,0.385742,null,null
1980.4,0.421947,null,null
1987.74,null,null,0.269515
1990.74,null,null,0.457321
1992.01,null,0.26285,null
1992.7,0.45361,null,null
1995.33,0.202702,null,null
2004.43,0.2582,null,null
2005.17,null,null,0.416042
2009.71,null,0.327201,null
2013.59,null,null,0.421011
2014.82,null,0.373694,null
2015.92,null,0.339567,null
2023.57,null,null,0.261874
2026.46,null,null,0.478565
2029.37,null,null,0.538773
2037.47,null,0.280432,null
2037.84,null,null,0.222509
2059.51,null,null,0.228712
2065.72,0.726915,null,null
2070.76,null,0.346127,null
2075.52,0.438241,null,null
2076.24,0.192694,null,null
2084.63,null,null,0.583309
2085.84,null,0.25906,null
2094.97,null,null,0.418234
2097.7,null,0.181991,null
2100.46,null,null,0.388533
2104.98,null,0.234865,null
2111.61,0.368147,null,null
2112.23,0.51243,null,null
