Quality,Buf3060,Buf120,Buf240
1763.98,,,0.390573
1764.52,0.488988,,
1773.34,0.408626,,
1779.75,0.129321,,
1782.02,,,0.332266
1784.4,,,0.312697
1786.2,0.328289,,
1794.16,,0.29217,
1795.68,,0.391625,
1798.6,,0.384585,
1801.32,0.426284,,
1803.26,,,0.325403
1803.6,,0.405201,
1805.25,,0.428024,
1809,,,0.353746
1825.01,,,0.349377
1827.17,,0.331089,
1827.57,,0.267902,
1831.27,,0.267039,
1832.87,,0.310598,
1835.95,,,0.809754
1838.13,,0.436527,
1838.48,0.397007,,
1839.93,,,0.430616
1840.27,,,0.361704
1840.57,,0.437646,
1840.93,,,0.434025
1842.61,,,0.794272
1844.2,,0.11173,
1848.06,,0.12388,
1853.02,,,0.25817
1853.61,0.399185,,
1856.15,,0.33342,
1857.74,,0.282344,
1858.4,0.248596,,
1860.76,,0.274043,
1864.34,0.164735,,
1868.27,0.384614,,
1874.38,0.359879,,
1875.76,0.169609,,
1880.29,,0.173416,
1882.77,,0.726596,
1891.62,,0.451249,
1900.07,0.404225,,
1901.5,0.255296,,
1902.27,0.415236,,
1907.87,,0.128366,
1909.66,,,0.338418
1911.14,,,0.44792
1912.59,0.290966,,
1916.18,,,0.484957
1919.45,0.155193,,
1920.01,,0.353768,
1921.46,,,0.41578
1923.17,,0.220537,
1927.15,,,0.568694
1937.96,0.845951,,
1938.93,0.384054,,
1942.5,0.23389,,
1952.09,0.409989,,
1952.57,,0.545373,
1954.37,,,0.202232
1957.48,,,0.781788
1962.55,,,0.363256
1964.97,0.252674,,
1967.64,,,0.331813
1976.03,0.385742,,
1980.4,0.421947,,
1987.74,,,0.269515
1990.74,,,0.457321
1992.01,,0.26285,
1992.7,0.45361,,
1995.33,0.202702,,
2004.43,0.2582,,
2005.17,,,0.416042
2009.71,,0.327201,
2013.59,,,0.421011
2014.82,,0.373694,
2015.92,,0.339567,
2023.57,,,0.261874
2026.46,,,0.478565
2029.37,,,0.538773
2037.47,,0.280432,
2037.84,,,0.222509
2059.51,,,0.228712
2065.72,0.726915,,
2070.76,,0.346127,
2075.52,0.438241,,
2076.24,0.192694,,
2084.63,,,0.583309
2085.84,,0.25906,
2094.97,,,0.418234
2097.7,,0.181991,
2100.46,,,0.388533
2104.98,,0.234865,
2111.61,0.368147,,
2112.23,0.51243,,
2114.1,,,0.217145
2116.7,0.383863,,
2118.76,,0.469113,
2123.79,0.430497,,
2126.38,0.52918,,
2129.93,,,0.231795
2134.87,0.211896,,
2136.97,,,0.317472
2139.13,,0.434902,
2141.92,,,0.20894
2147.87,,0.238771,
2149.32,,0.686243,
2149.96,0.426034,,
2150.94,,,0.331318
2154.28,,,0.219575
2162.29,0.210101,,
2171.93,,0.497175,
2175.37,,0.188492,
2180.25,,,0.207842
2189.01,,,0.51853
2189.86,,0.381902,
2208.05,0.319069,,
2222.81,,0.212664,
2228.36,,0.355483,
2228.46,0.173472,,
2232.11,,,0.297029
2233.55,,0.591676,
2234,0.649783,,
2238.26,0.321013,,
2240.99,,,0.260757
2248.33,,,0.316141
2249.3,,0.222806,
2249.66,0.166386,,
2250.66,,0.312422,
2255.47,0.224719,,
2255.8,0.195916,,
2256,0.306991,,
2257.18,0.292286,,
2258.9,,0.502261,
2260.44,,0.457103,
2261.42,,0.690591,
2267.91,0.605988,,
2270.34,,0.508621,
2273.05,0.15791,,
2278.91,0.454981,,
2279.77,,,0.884837
2280.69,,0.166548,
2281.94,,,0.318284
2282.76,,,0.274942
2288.35,,0.266467,
2288.68,,,0.435951
2289.26,,0.344636,
2289.36,,,0.511806
2303.02,0.41064,,
2303.46,,,0.405953
2311.05,0.516921,,
2312.13,0.397637,,
2315.43,,,0.521989
2320.93,,0.47164,
2321.32,0.634679,,
2339,,,0.578256
2347.79,,0.463668,
2349.79,,0.244402,
2360.43,0.44954,,
2364.49,,,0.438936
2372.34,0.253866,,
2381.39,,,0.388445
2385.06,0.410778,,
2385.68,,0.237335,
2391.34,,0.497764,
2392.87,,,0.407298
2398.65,,0.490727,
2399.4,,,0.436513
2401.34,,,0.370432
2403.41,,,0.670776
2404.17,,,0.544079
2408.26,,,0.587543
2408.78,,,0.712582
2411.15,0.265717,,
2419.91,,,0.58574
2422.3,0.322091,,
2425.53,,,0.332872
2429.11,,,0.39511
2429.59,,0.283264,
2434.86,,,0.736541
2438.13,,0.337699,
2440.01,,,0.766419
2440.94,,,0.351336
2444.78,,,0.305441
2448.09,,,0.363865
2449.09,0.175111,,
2450.87,,0.267917,
2452.05,,,0.400933
2455.89,0.359844,,
2459.21,0.755528,,
2463.15,0.306518,,
2465.94,,,0.606063
2474.56,,,0.324988
2481.37,0.176833,,
2481.38,0.452307,,
2483.1,0.50216,,
2489.41,,0.255322,
2493.17,,0.391475,
2500.5,,0.413302,
2500.74,0.593554,,
2506.9,0.332952,,
2506.91,,,0.817276
2507.74,0.571773,,
2507.93,,0.568625,
2510.86,0.27022,,
2519.51,,0.396732,
2521.67,0.50617,,
2521.99,0.2148,,
2523.29,,,0.380451
2530.78,,0.295404,
2534.44,,,0.300222
2541.08,0.521242,,
2544.05,0.306716,,
2544.31,0.437031,,
2546.18,,0.316823,
2547.2,0.31586,,
2552.5,0.389495,,
2552.72,,0.296587,
2556.4,,,0.503344
2562.44,,0.421295,
2570.98,0.194297,,
2571.95,,0.287041,
2580.9,0.339005,,
2584.81,,0.365083,
2585.79,,,0.282319
2586.9,,0.289507,
2591.72,,,0.291622
2593.83,,0.489459,
2597.04,,0.478903,
2597.4,0.299426,,
2601.9,,0.356724,
2607.95,0.251214,,
2612.68,,0.472662,
2613.46,,0.350103,
2614.59,0.426745,,
2615.35,0.425845,,
2616.02,0.270815,,
2616.11,0.424898,,
2616.24,,0.68492,
2617,0.247481,,
2617.77,0.309704,,
2618.51,,,0.232073
2621.3,,,0.37339
2623.69,,,0.370708
2624.08,0.290454,,
2626.21,0.425071,,
2626.82,,,0.370129
2629.28,,0.269846,
2630.52,,0.268223,
2632.22,,0.27912,
2635.24,0.261376,,
2636.76,,0.255355,
2637.56,0.455134,,
2641.27,,,0.501466
2642.01,,0.317666,
2649.97,0.267734,,
2651.93,,,0.270898
2654.59,0.235809,,
2654.77,,0.245729,
2661.28,0.189105,,
2664,,,0.271449
2664.43,,0.294456,
2670.91,,0.302809,
2671.24,,0.389113,
2681.96,0.283912,,
2682.7,,0.307198,
2689.84,,,0.351785
2690.81,,0.499692,
2696.28,,,0.372343
2697.46,,,0.460944
2698.3,,,0.382944
2701.17,,0.465855,
2701.98,0.463786,,
2703.61,0.281161,,
2704.35,0.287305,,
2708.53,0.467336,,
2710.09,0.474984,,
2711.51,,,0.300997
2711.97,,,0.289407
2714.77,,0.288971,
2719.58,0.296171,,
2723.84,,0.297338,
2723.98,,0.760337,
2731.3,,0.208283,
2731.56,0.212772,,
2732.58,,,0.301122
2732.93,,0.289821,
2737,,,0.307698
